date,state,flip,cases,deaths
22/04/2020,Apurimac,3,4,0
23/04/2020,Apurimac,3,5,0
24/04/2020,Apurimac,3,2,0
25/04/2020,Apurimac,3,19,0
26/04/2020,Apurimac,3,5,0
27/04/2020,Apurimac,3,12,0
28/04/2020,Apurimac,3,10,0
29/04/2020,Apurimac,3,13,0
30/04/2020,Apurimac,3,35,0
2/05/2020,Apurimac,3,5,0
4/05/2020,Apurimac,3,6,0
5/05/2020,Apurimac,3,3,0
6/05/2020,Apurimac,3,1,0
9/05/2020,Apurimac,3,1,0
11/05/2020,Apurimac,3,3,0
12/05/2020,Apurimac,3,5,0
13/05/2020,Apurimac,3,2,0
14/05/2020,Apurimac,3,2,0
15/05/2020,Apurimac,3,3,0
17/05/2020,Apurimac,3,2,0
18/05/2020,Apurimac,3,4,0
19/05/2020,Apurimac,3,3,0
21/05/2020,Apurimac,3,5,0
22/05/2020,Apurimac,3,14,0
23/05/2020,Apurimac,3,9,0
25/05/2020,Apurimac,3,22,0
26/05/2020,Apurimac,3,2,0
27/05/2020,Apurimac,3,8,0
28/05/2020,Apurimac,3,9,0
29/05/2020,Apurimac,3,9,0
30/05/2020,Apurimac,3,9,0
31/05/2020,Apurimac,3,3,0
1/06/2020,Apurimac,3,6,0
2/06/2020,Apurimac,3,13,0
3/06/2020,Apurimac,3,11,0
4/06/2020,Apurimac,3,18,0
5/06/2020,Apurimac,3,12,0
6/06/2020,Apurimac,3,13,0
7/06/2020,Apurimac,3,5,0
8/06/2020,Apurimac,3,10,0
9/06/2020,Apurimac,3,14,0
10/06/2020,Apurimac,3,5,0
11/06/2020,Apurimac,3,13,0
12/06/2020,Apurimac,3,13,0
13/06/2020,Apurimac,3,3,0
14/06/2020,Apurimac,3,1,0
15/06/2020,Apurimac,3,4,0
16/06/2020,Apurimac,3,1,0
17/06/2020,Apurimac,3,8,0
18/06/2020,Apurimac,3,6,0
19/06/2020,Apurimac,3,4,0
20/06/2020,Apurimac,3,26,0
21/06/2020,Apurimac,3,25,0
