date,state,fips,cases,deaths
2020-04-08,Cajamarca,CAJ,3,0
2020-04-08,Callao,CAL,127,0
2020-04-08,Cusco,CUS,3,0
2020-04-08,Huanuco,HCO,5,0
2020-04-08,Ica,ICA,9,0
2020-04-08,Junin,JUN,2,0
2020-04-08,La Libertad,LIB,22,0
2020-04-08,Lambayeque,LAM,75,0
2020-04-08,Lima,LIM,673,0
2020-04-08,Lima Region,LRE,22,0
2020-04-08,Loreto,LOR,68,0
2020-04-08,Madre de Dios,MDI,3,0
2020-04-08,Moquegua,MOQ,1,0
2020-04-08,Piura,PIU,21,0
2020-04-08,San Martin,SMA,4,0
2020-04-08,Tumbes,TUM,22,0
2020-04-09,Amazonas,AMA,5,0
2020-04-09,Ancash,ANC,12,0
2020-04-09,Apurimac,APU,3,0
2020-04-09,Arequipa,ARE,6,0
2020-04-09,Ayacucho,AYA,2,0
2020-04-09,Cajamarca,CAJ,6,0
2020-04-09,Callao,CAL,48,0
2020-04-09,Cusco,CUS,2,0
2020-04-09,Huanuco,HCO,7,0
2020-04-09,Ica,ICA,5,0
2020-04-09,Junin,JUN,14,0
2020-04-09,La Libertad,LIB,7,0
2020-04-09,Lambayeque,LAM,20,0
2020-04-09,Lima,LIM,607,0
2020-04-09,Lima Region,LRE,16,0
2020-04-09,Loreto,LOR,4,0
2020-04-09,Madre de Dios,MDI,1,0
2020-04-09,Pasco,PAS,5,0
2020-04-09,Piura,PIU,40,0
2020-04-09,Puno,PUN,1,0
2020-04-09,San Martin,SMA,5,0
2020-04-09,Tumbes,TUM,1,0
2020-04-10,Ancash,ANC,16,0
2020-04-10,Arequipa,ARE,2,0
2020-04-10,Ayacucho,AYA,2,0
2020-04-10,Callao,CAL,88,0
2020-04-10,Cusco,CUS,3,0
2020-04-10,Huanuco,HCO,3,0
2020-04-10,Ica,ICA,15,0
2020-04-10,Junin,JUN,2,0
2020-04-10,La Libertad,LIB,5,0
2020-04-10,Lambayeque,LAM,59,0
2020-04-10,Lima,LIM,763,0
2020-04-10,Lima Region,LRE,26,0
2020-04-10,Loreto,LOR,7,0
2020-04-10,Moquegua,MOQ,4,0
2020-04-10,Pasco,PAS,1,0
